transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2017-02-25 00:00:00,0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02 00:00:00
2,3,3120,2017-05-21 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03 00:00:00
3,37,402,2017-10-16 00:00:00,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20 00:00:00
4,88,3135,2017-08-31 00:00:00,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16 00:00:00
5,78,787,2017-10-01 00:00:00,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-10 00:00:00
6,25,2339,2017-03-08 00:00:00,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-10 00:00:00
7,22,1542,2017-04-21 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15 00:00:00
8,15,2459,2017-07-15 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12 00:00:00
9,67,1305,2017-08-10 00:00:00,0,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-08-05 00:00:00
10,12,3262,2017-08-30 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17 00:00:00
11,5,1986,2017-01-17 00:00:00,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29 00:00:00
12,61,2783,2017-01-05 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17 00:00:00
13,35,1243,2017-02-26 00:00:00,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12 00:00:00
14,16,2717,2017-09-10 00:00:00,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09 00:00:00
15,12,247,2017-06-11 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25 00:00:00
16,3,2961,2017-10-10 00:00:00,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-09 00:00:00
17,79,2426,2017-04-03 00:00:00,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2004-08-07 00:00:00
18,33,1842,2017-06-02 00:00:00,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00
19,54,2268,2017-04-06 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12 00:00:00
20,25,3002,2017-01-28 00:00:00,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-22 00:00:00
21,27,1582,2017-10-09 00:00:00,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23 00:00:00
22,37,595,2017-06-29 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20 00:00:00
23,37,2001,2017-04-08 00:00:00,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-21 00:00:00
24,82,515,2017-10-18 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04 00:00:00
25,89,2822,2017-06-11 00:00:00,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20 00:00:00
26,64,2596,2017-01-10 00:00:00,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2015-05-21 00:00:00
27,64,2666,2017-04-11 00:00:00,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18 00:00:00
28,19,76,2017-12-23 00:00:00,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-09 00:00:00
29,72,3368,2017-10-13 00:00:00,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06 00:00:00
30,91,1173,2017-03-15 00:00:00,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10 00:00:00
31,88,2810,2017-09-05 00:00:00,1,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2002-10-10 00:00:00
32,1,3214,2017-02-18 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14 00:00:00
33,25,1272,2017-03-20 00:00:00,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04 00:00:00
34,99,2003,2017-02-28 00:00:00,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01 00:00:00
35,0,2171,2017-08-20 00:00:00,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22 00:00:00
36,92,3356,2017-07-07 00:00:00,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10 00:00:00
37,14,1040,2017-01-09 00:00:00,0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24 00:00:00
38,2,2916,2017-12-06 00:00:00,0,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07 00:00:00
39,12,427,2017-09-12 00:00:00,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07 00:00:00
40,0,2448,2017-11-28 00:00:00,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22 00:00:00
41,44,2570,2017-05-08 00:00:00,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16 00:00:00
42,79,3398,2017-05-14 00:00:00,0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16 00:00:00
43,76,488,2017-03-17 00:00:00,0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10 00:00:00
44,46,165,2017-12-22 00:00:00,0,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16 00:00:00
45,55,2787,2017-06-07 00:00:00,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-17 00:00:00
46,66,3053,2017-06-20 00:00:00,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09 00:00:00
47,35,475,2017-05-07 00:00:00,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12 00:00:00
48,81,1305,2017-06-10 00:00:00,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10 00:00:00
49,86,1251,2017-06-17 00:00:00,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07 00:00:00
50,32,3103,2017-05-10 00:00:00,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22 00:00:00
51,77,3108,2017-03-24 00:00:00,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10 00:00:00
52,96,857,2017-11-27 00:00:00,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-11 00:00:00
53,6,3455,2017-12-21 00:00:00,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-07 00:00:00
